Marka;Model;İşlemci;RAM;Depolama;Ekran Kartı;Fiyat
Diğer;-;Intel Core I9-14900HX;64;4096;NVIDIA RTX3500;389.950,00
HP;-;Intel Core Ultra 9 285HX;96;8192;Entegre;387.630,00
HP;-;Intel Core Ultra 9 285HX;128;4096;Entegre;384.895,00
HP;-;Intel Core Ultra 9 285HX;128;2048;Entegre;378.058,00
Dell;-;Intel Core I9-13950HX;32;1024;NVIDIA RTX5000;374.526,82
HP;-;Intel Core Ultra 9 285HX;96;4096;Entegre;373.957,00
HP;-;Intel Core Ultra 9 285HX;128;1024;Entegre;371.222,00
Diğer;-;Intel Core I9-14900HX;128;8192;NVIDIA RTX5000;519.950,00
Diğer;-;Intel Core I9-14900HX;128;4096;NVIDIA RTX5000;499.950,00
Lenovo;Ideapad Slim 3;Intel Core I5-13420H;32;512;Entegre;463.049,06
Lenovo;-;Intel Core I9-13980HX;16;1024;NVIDIA RTX4000;434.122,50
Lenovo;-;Intel Core I9-13980HX;16;1024;NVIDIA RTX4000;430.659,21
HP;-;Intel Core Ultra 9 285HX;128;16384;Entegre;425.914,00
Diğer;-;Intel Core I9-14900HX;128;8192;NVIDIA RTX3500;419.950,00
HP;-;Intel Core Ultra 9 285HX;96;16384;Entegre;414.976,00
Diğer;-;Intel Core I9-14900HX;96;8192;NVIDIA RTX3500;409.950,00
Diğer;-;Intel Core I9-14900HX;64;8192;NVIDIA RTX3500;405.950,00
Diğer;-;Intel Core I9-14900HX;128;4096;NVIDIA RTX3500;399.950,00
Diğer;-;Intel Core I9-14900HX;96;4096;NVIDIA RTX3500;399.950,00
HP;-;Intel Core Ultra 9 285HX;64;16384;Entegre;398.568,00
HP;-;Intel Core Ultra 9 285HX;32;16384;Entegre;395.150,00
HP;-;Intel Core Ultra 9 288V;32;2048;Entegre;393.294,84
Diğer;-;Intel Core I9-14900HX;64;4096;NVIDIA RTX3500;389.950,00
HP;-;Intel Core Ultra 9 285HX;96;8192;Entegre;387.630,00
HP;-;Intel Core Ultra 9 285HX;128;4096;Entegre;384.895,00
HP;-;Intel Core Ultra 9 285HX;128;2048;Entegre;378.058,00
Dell;-;Intel Core I9-13950HX;32;1024;NVIDIA RTX5000;374.526,82
HP;-;Intel Core Ultra 9 285HX;96;4096;Entegre;373.957,00
HP;-;Intel Core Ultra 9 285HX;128;1024;Entegre;371.222,00
Diğer;-;Intel Core I9-14900HX;128;8192;NVIDIA RTX5000;519.950,00
Diğer;-;Intel Core I9-14900HX;128;4096;NVIDIA RTX5000;499.950,00
Lenovo;Ideapad Slim 3;Intel Core I5-13420H;32;512;Entegre;463.049,06
Lenovo;-;Intel Core I9-13980HX;16;1024;NVIDIA RTX4000;434.122,50
Lenovo;-;Intel Core I9-13980HX;16;1024;NVIDIA RTX4000;430.659,21
HP;-;Intel Core Ultra 9 285HX;128;16384;Entegre;425.914,00
Diğer;-;Intel Core I9-14900HX;128;8192;NVIDIA RTX3500;419.950,00
HP;-;Intel Core Ultra 9 285HX;96;16384;Entegre;414.976,00
Diğer;-;Intel Core I9-14900HX;96;8192;NVIDIA RTX3500;409.950,00
Diğer;-;Intel Core I9-14900HX;64;8192;NVIDIA RTX3500;405.950,00
Diğer;-;Intel Core I9-14900HX;128;4096;NVIDIA RTX3500;399.950,00
Diğer;-;Intel Core I9-14900HX;96;4096;NVIDIA RTX3500;399.950,00
HP;-;Intel Core Ultra 9 285HX;64;16384;Entegre;398.568,00
HP;-;Intel Core Ultra 9 285HX;32;16384;Entegre;395.150,00
HP;-;Intel Core Ultra 9 288V;32;2048;Entegre;393.294,84
Diğer;-;Intel Core I9-14900HX;64;4096;NVIDIA RTX3500;389.950,00
HP;-;Intel Core Ultra 9 285HX;96;8192;Entegre;387.630,00
HP;-;Intel Core Ultra 9 285HX;128;4096;Entegre;384.895,00
HP;-;Intel Core Ultra 9 285HX;128;2048;Entegre;378.058,00
Dell;-;Intel Core I9-13950HX;32;1024;NVIDIA RTX5000;374.526,82
HP;-;Intel Core Ultra 9 285HX;96;4096;Entegre;373.957,00
HP;-;Intel Core Ultra 9 285HX;128;1024;Entegre;371.222,00
Apple;Air M4;Apple M4;16;256;Apple M4 GPU;45.299,00
Huawei;MateBook D16;Intel Core i5-12450H;8;512;Intel UHD;21.999,00
Apple;Air M4;Apple M4;16;256;Apple M4 GPU;45.299,00
Lenovo;-;Intel Core i5-13420H;16;512;Intel UHD;22.799,05
Apple;Pro M4 Pro;Apple M4 Pro;24;512;Apple M4 Pro GPU;95.999,00
Apple;Air M4;Apple M4;16;256;Apple M4 GPU;45.170,00
Asus;Vivobook Go 15 E1504FA-BQ1741;AMD Ryzen 5 7520U;8;512;AMD Radeon 610M;16.889,06
Lenovo;-;Intel N100;4;128;Intel UHD;9.149,00
Apple;Air M4;Apple M4;16;512;Apple M4 GPU;59.999,00
Lenovo;-;AMD Ryzen 5 5625U;16;512;AMD Radeon;19.489,00
Asus;Zenbook 14 UX3405CA-QL286W Ultra 7 255H 16 GB 512 ;Intel Core Ultra 7 255H;16;512;Intel Arc 140T;47.799,00
MSI;-;Intel Core i5-1334U;16;512;Intel Iris Xe;22.840,69
Lenovo;IdeaPad Slim 3 16IRH10 83K2001FTR i5-13420H 16 GB ;Intel Core i5-13420H;16;512;Intel UHD;24.499,00
Apple;Air M2;Apple M2;16;256;Apple M2 GPU;36.999,00
Huawei;MateBook D14;Intel Core i5-12450H;16;512;Intel UHD;29.449,05
Lenovo;Ideapad Slim 3 16IRH10 83K2001VTR i7-13620H 16 GB ;Intel Core i7-13620H;16;1024;Intel UHD;39.845,95
Casper;Nirvana S100.1362-BF00X-G-F;Intel Core i7-13620H;16;1024;Intel UHD;25.999,00
Lenovo;-;Intel Core i7-13620H;16;512;Intel UHD;29.005,50
Dell;Vostro 3530;Intel Core i5-1334U;16;512;Intel Iris Xe;22.711,66
Apple;Air M2;Apple M2;16;256;Apple M2 GPU;36.566,00
Apple;Air M4;Apple M4;16;256;Apple M4 GPU;47.520,00
MSI;-;Intel Core i5-1334U;16;512;Intel Iris Xe;24.902,84
Asus;Vivobook S16 S3607VA-RP012 i7-13620H 16 GB 1 TB SS;Intel Core i7-13620H;16;1024;Intel UHD;37.049,03
Apple;Pro M4;Apple M4;16;512;Apple M4 GPU;74.999,00
Lenovo;ThinkBook 16P G5 IRX 21N50024TR i9-14900HX 32 GB 1;Intel Core i9-14900HX;32;1024;NVIDIA RTX4060;85.599,00
Apple;Pro M4 Pro;Apple M4 Pro;24;512;Apple M4 Pro GPU;123.490,00
Lenovo;-;Intel N100;4;128;Intel UHD;9.399,00
Lenovo;-;AMD Ryzen 3 7320U;8;512;AMD Radeon 610M;17.099,05
Huawei;MateBook D14;Intel Core i5-12450H;8;512;Intel UHD;23.699,00
Asus;Vivobook 16 V3607VU-RP285W;Intel Core 5 210H;8;512;NVIDIA RTX4050;40.999,00
Lenovo;ThinkBook 14 G7 ARP 21MV001ATR Ryzen 5 7535HS 16 G;AMD Ryzen 5 7535HS;16;512;AMD Radeon 660M;28.471,58
Lenovo;ThinkBook 14 G7 ARP 21MV001ATR Ryzen 5 7535HS 16 G;AMD Ryzen 5 7535HS;16;512;AMD Radeon 660M;28.471,58
Casper;Nirvana S100.1362-DF00X-G-F;Intel Core i7-13620H;32;1024;Intel UHD;33.051,53
Huawei;MateBook D16;Intel Core i5-12450H;16;512;Intel UHD;39.499,00
Chuwi;-;Intel N150;16;512;Entegre;16.399,07
MSI;-;Intel Core Ultra 7 155H;16;1024;NVIDIA RTX4050;52.500,20
Asus;ZenBook 14 UX3402VA-KP659W i5-13500H 8 GB 512 GB S;Intel Core i5-13500H;8;512;Intel Iris Xe;37.999,00
Apple;Air M1;Apple M1;16;256;Apple M1 GPU;36.763,00
Casper;Nirvana S100.1362-DV00X-G-F;Intel Core i7-13620H;32;500;Intel UHD;30.972,45
Asus;-;Intel Core i5-1235U;16;512;Intel UHD;25.999,00
Lenovo;-;Intel Celeron N4120;4;128;Intel UHD;17.999,00
Apple;Pro M1;Apple M1;8;256;Apple M1 GPU;72.000,00
Casper;Nirvana C550.1235-BV00X-G-F;Intel Core i5-1235U;16;500;Intel Iris Xe;20.499,00
HP;15-FC0001NT;AMD Ryzen 5 7520U;8;256;AMD Radeon 610M;22.119,00
Casper;Nirvana X600.1270-DF00X-G-F;Intel Core i7-12700H;32;1024;Intel Iris Xe;38.999,00
Acer;-;Intel Core i5-1335U;8;512;Intel Iris Xe;26.199,00
Apple;Pro M1 Pro;Apple M1 Pro;16;1024;Apple M1 Pro GPU;79.999,00
Toshiba;Satellite Radius;Intel Core i7-6500U;8;256;Entegre;48.999,99
Casper;Nirvana X650.1342-DV00X-G-F;Intel Core i5-13420H;32;500;Intel UHD;27.062,07
Casper;Nirvana Z100;Intel Core i5-1335U;16;500;Intel Iris Xe;32.233,05
Casper;Nirvana X600.1270-BV00X-G-F;Intel Core i7-12700H;16;500;Intel Iris Xe;24.999,00
Lenovo;-;Intel Core i5-10300H;8;256;NVIDIA GTX1650;60.606,05
Casper;Nirvana X600.1270-BF00X-G-F;Intel Core i7-12700H;16;1024;Intel Iris Xe;30.554,03
Casper;Nirvana X600.5500-BV00X-G-F;AMD Ryzen 5 5500U;16;500;AMD Radeon;33.603,00
Lenovo;ThinkPad E14 Gen 5 21JR0009TX Ryzen 5 7530U 16 GB ;AMD Ryzen 5 7530U;16;512;AMD Radeon;56.550,88
Diğer;-;Intel Core i7-10870H;16;512;Intel UHD;46.499,00
Asus;Vivobook Pro 15 M6500QF-HN017;AMD Ryzen PRO 5 5600H;16;512;NVIDIA RTX2050;51.748,27
Apple;Air M4;Apple M4;16;256;Apple M4 GPU;45.299,00
Huawei;MateBook D16;Intel Core i5-12450H;8;512;Intel UHD;21.999,00
Diğer;-;Intel Core I9-14900HX;128;8192;NVIDIA RTX5000;519.950,00
Diğer;-;Intel Core I9-14900HX;128;4096;NVIDIA RTX5000;499.950,00
Lenovo;Ideapad Slim 3;Intel Core I5-13420H;32;512;Entegre;463.049,06
Lenovo;-;Intel Core I9-13980HX;16;1024;NVIDIA RTX4000;434.122,50
Lenovo;-;Intel Core I9-13980HX;16;1024;NVIDIA RTX4000;430.659,21
HP;-;Intel Core Ultra 9 285HX;128;16384;Entegre;425.914,00
Diğer;-;Intel Core I9-14900HX;128;8192;NVIDIA RTX3500;419.950,00
HP;-;Intel Core Ultra 9 285HX;96;16384;Entegre;414.976,00
Diğer;-;Intel Core I9-14900HX;96;8192;NVIDIA RTX3500;409.950,00
Diğer;-;Intel Core I9-14900HX;64;8192;NVIDIA RTX3500;405.950,00
Diğer;-;Intel Core I9-14900HX;128;4096;NVIDIA RTX3500;399.950,00
Diğer;-;Intel Core I9-14900HX;96;4096;NVIDIA RTX3500;399.950,00
HP;-;Intel Core Ultra 9 285HX;64;16384;Entegre;398.568,00
HP;-;Intel Core Ultra 9 285HX;32;16384;Entegre;395.150,00
HP;-;Intel Core Ultra 9 288V;32;2048;Entegre;393.294,84
Diğer;-;Intel Core I9-14900HX;64;4096;NVIDIA RTX3500;389.950,00
HP;-;Intel Core Ultra 9 285HX;96;8192;Entegre;387.630,00
HP;-;Intel Core Ultra 9 285HX;128;4096;Entegre;384.895,00
HP;-;Intel Core Ultra 9 285HX;128;2048;Entegre;378.058,00
Dell;-;Intel Core I9-13950HX;32;1024;NVIDIA RTX5000;374.526,82
HP;-;Intel Core Ultra 9 285HX;96;4096;Entegre;373.957,00
HP;-;Intel Core Ultra 9 285HX;128;1024;Entegre;371.222,00
Lenovo;ThinkBook 14 G7 ARP 21MV001ATR Ryzen 5 7535HS 16 G;AMD Ryzen 5 7535HS;16;512;AMD Radeon 660M;28.471,58
Casper;Nirvana S100.1362-DF00X-G-F;Intel Core i7-13620H;32;1024;Intel UHD;33.051,53
Huawei;MateBook D16;Intel Core i5-12450H;16;512;Intel UHD;39.499,00
Chuwi;-;Intel N150;16;512;Entegre;16.399,07
MSI;-;Intel Core Ultra 7 155H;16;1024;NVIDIA RTX4050;52.500,20
Asus;ZenBook 14 UX3402VA-KP659W i5-13500H 8 GB 512 GB S;Intel Core i5-13500H;8;512;Intel Iris Xe;37.999,00
Apple;Air M1;Apple M1;16;256;Apple M1 GPU;36.763,00
Casper;Nirvana S100.1362-DV00X-G-F;Intel Core i7-13620H;32;500;Intel UHD;30.972,45
Asus;-;Intel Core i5-1235U;16;512;Intel UHD;25.999,00
Lenovo;-;Intel Celeron N4120;4;128;Intel UHD;17.999,00
Apple;Pro M1;Apple M1;8;256;Apple M1 GPU;72.000,00
Casper;Nirvana C550.1235-BV00X-G-F;Intel Core i5-1235U;16;500;Intel Iris Xe;20.499,00
HP;15-FC0001NT;AMD Ryzen 5 7520U;8;256;AMD Radeon 610M;22.119,00
Casper;Nirvana X600.1270-DF00X-G-F;Intel Core i7-12700H;32;1024;Intel Iris Xe;38.999,00
Acer;-;Intel Core i5-1335U;8;512;Intel Iris Xe;26.199,00
Apple;Pro M1 Pro;Apple M1 Pro;16;1024;Apple M1 Pro GPU;79.999,00
Toshiba;Satellite Radius;Intel Core i7-6500U;8;256;Entegre;48.999,99
Casper;Nirvana X650.1342-DV00X-G-F;Intel Core i5-13420H;32;500;Intel UHD;27.062,07
Casper;Nirvana Z100;Intel Core i5-1335U;16;500;Intel Iris Xe;32.233,05
Casper;Nirvana X600.1270-BV00X-G-F;Intel Core i7-12700H;16;500;Intel Iris Xe;24.999,00
Lenovo;-;Intel Core i5-10300H;8;256;NVIDIA GTX1650;60.606,05
Casper;Nirvana X600.1270-BF00X-G-F;Intel Core i7-12700H;16;1024;Intel Iris Xe;30.554,03
Casper;Nirvana X600.5500-BV00X-G-F;AMD Ryzen 5 5500U;16;500;AMD Radeon;33.603,00
Lenovo;ThinkPad E14 Gen 5 21JR0009TX Ryzen 5 7530U 16 GB ;AMD Ryzen 5 7530U;16;512;AMD Radeon;56.550,88
Diğer;-;Intel Core i7-10870H;16;512;Intel UHD;46.499,00
Asus;Vivobook Pro 15 M6500QF-HN017;AMD Ryzen PRO 5 5600H;16;512;NVIDIA RTX2050;51.748,27
Apple;Air M4;Apple M4;16;256;Apple M4 GPU;45.299,00
Huawei;MateBook D16;Intel Core i5-12450H;8;512;Intel UHD;21.999,00
Lenovo;ThinkBook 14 G7 ARP 21MV001ATR Ryzen 5 7535HS 16 G;AMD Ryzen 5 7535HS;16;512;AMD Radeon 660M;28.471,58
Casper;Nirvana S100.1362-DF00X-G-F;Intel Core i7-13620H;32;1024;Intel UHD;33.051,53
Huawei;MateBook D16;Intel Core i5-12450H;16;512;Intel UHD;39.499,00
Chuwi;-;Intel N150;16;512;Entegre;16.399,07
MSI;-;Intel Core Ultra 7 155H;16;1024;NVIDIA RTX4050;52.500,20
Asus;ZenBook 14 UX3402VA-KP659W i5-13500H 8 GB 512 GB S;Intel Core i5-13500H;8;512;Intel Iris Xe;37.999,00
Apple;Air M1;Apple M1;16;256;Apple M1 GPU;36.763,00
Casper;Nirvana S100.1362-DV00X-G-F;Intel Core i7-13620H;32;500;Intel UHD;30.972,45
Asus;-;Intel Core i5-1235U;16;512;Intel UHD;25.999,00
Lenovo;-;Intel Celeron N4120;4;128;Intel UHD;17.999,00
Apple;Pro M1;Apple M1;8;256;Apple M1 GPU;72.000,00
Casper;Nirvana C550.1235-BV00X-G-F;Intel Core i5-1235U;16;500;Intel Iris Xe;20.499,00
HP;15-FC0001NT;AMD Ryzen 5 7520U;8;256;AMD Radeon 610M;22.119,00
Casper;Nirvana X600.1270-DF00X-G-F;Intel Core i7-12700H;32;1024;Intel Iris Xe;38.999,00
Acer;-;Intel Core i5-1335U;8;512;Intel Iris Xe;26.199,00
Apple;Pro M1 Pro;Apple M1 Pro;16;1024;Apple M1 Pro GPU;79.999,00
Toshiba;Satellite Radius;Intel Core i7-6500U;8;256;Entegre;48.999,99
Casper;Nirvana X650.1342-DV00X-G-F;Intel Core i5-13420H;32;500;Intel UHD;27.062,07
Casper;Nirvana Z100;Intel Core i5-1335U;16;500;Intel Iris Xe;32.233,05
Casper;Nirvana X600.1270-BV00X-G-F;Intel Core i7-12700H;16;500;Intel Iris Xe;24.999,00
Lenovo;-;Intel Core i5-10300H;8;256;NVIDIA GTX1650;60.606,05
Casper;Nirvana X600.1270-BF00X-G-F;Intel Core i7-12700H;16;1024;Intel Iris Xe;30.554,03
Casper;Nirvana X600.5500-BV00X-G-F;AMD Ryzen 5 5500U;16;500;AMD Radeon;33.603,00
Lenovo;ThinkPad E14 Gen 5 21JR0009TX Ryzen 5 7530U 16 GB ;AMD Ryzen 5 7530U;16;512;AMD Radeon;56.550,88
Diğer;-;Intel Core i7-10870H;16;512;Intel UHD;46.499,00
Asus;Vivobook Pro 15 M6500QF-HN017;AMD Ryzen PRO 5 5600H;16;512;NVIDIA RTX2050;51.748,27
Apple;Air M4;Apple M4;16;256;Apple M4 GPU;45.299,00
Huawei;MateBook D16;Intel Core i5-12450H;8;512;Intel UHD;21.999,00
Lenovo;ThinkBook 14 G7 ARP 21MV001ATR Ryzen 5 7535HS 16 G;AMD Ryzen 5 7535HS;16;512;AMD Radeon 660M;28.471,58
Casper;Nirvana S100.1362-DF00X-G-F;Intel Core i7-13620H;32;1024;Intel UHD;33.051,53
Huawei;MateBook D16;Intel Core i5-12450H;16;512;Intel UHD;39.499,00
Chuwi;-;Intel N150;16;512;Entegre;16.399,07
MSI;-;Intel Core Ultra 7 155H;16;1024;NVIDIA RTX4050;52.500,20
Asus;ZenBook 14 UX3402VA-KP659W i5-13500H 8 GB 512 GB S;Intel Core i5-13500H;8;512;Intel Iris Xe;37.999,00
Apple;Air M1;Apple M1;16;256;Apple M1 GPU;36.763,00
Casper;Nirvana S100.1362-DV00X-G-F;Intel Core i7-13620H;32;500;Intel UHD;30.972,45
Asus;-;Intel Core i5-1235U;16;512;Intel UHD;25.999,00
Lenovo;-;Intel Celeron N4120;4;128;Intel UHD;17.999,00
Apple;Pro M1;Apple M1;8;256;Apple M1 GPU;72.000,00
Casper;Nirvana C550.1235-BV00X-G-F;Intel Core i5-1235U;16;500;Intel Iris Xe;20.499,00
HP;15-FC0001NT;AMD Ryzen 5 7520U;8;256;AMD Radeon 610M;22.119,00
Casper;Nirvana X600.1270-DF00X-G-F;Intel Core i7-12700H;32;1024;Intel Iris Xe;38.999,00
Acer;-;Intel Core i5-1335U;8;512;Intel Iris Xe;26.199,00
Apple;Pro M1 Pro;Apple M1 Pro;16;1024;Apple M1 Pro GPU;79.999,00
Toshiba;Satellite Radius;Intel Core i7-6500U;8;256;Entegre;48.999,99
Casper;Nirvana X650.1342-DV00X-G-F;Intel Core i5-13420H;32;500;Intel UHD;27.062,07
Casper;Nirvana Z100;Intel Core i5-1335U;16;500;Intel Iris Xe;32.233,05
Casper;Nirvana X600.1270-BV00X-G-F;Intel Core i7-12700H;16;500;Intel Iris Xe;24.999,00
Lenovo;-;Intel Core i5-10300H;8;256;NVIDIA GTX1650;60.606,05
Casper;Nirvana X600.1270-BF00X-G-F;Intel Core i7-12700H;16;1024;Intel Iris Xe;30.554,03
Casper;Nirvana X600.5500-BV00X-G-F;AMD Ryzen 5 5500U;16;500;AMD Radeon;33.603,00
Lenovo;ThinkPad E14 Gen 5 21JR0009TX Ryzen 5 7530U 16 GB ;AMD Ryzen 5 7530U;16;512;AMD Radeon;56.550,88
Diğer;-;Intel Core i7-10870H;16;512;Intel UHD;46.499,00
Asus;Vivobook Pro 15 M6500QF-HN017;AMD Ryzen PRO 5 5600H;16;512;NVIDIA RTX2050;51.748,27
Apple;Air M4;Apple M4;16;256;Apple M4 GPU;45.299,00
Huawei;MateBook D16;Intel Core i5-12450H;8;512;Intel UHD;21.999,00
Lenovo;ThinkBook 14 G7 ARP 21MV001ATR Ryzen 5 7535HS 16 G;AMD Ryzen 5 7535HS;16;512;AMD Radeon 660M;28.471,58
Casper;Nirvana S100.1362-DF00X-G-F;Intel Core i7-13620H;32;1024;Intel UHD;33.051,53
Huawei;MateBook D16;Intel Core i5-12450H;16;512;Intel UHD;39.499,00
Chuwi;-;Intel N150;16;512;Entegre;16.399,07
MSI;-;Intel Core Ultra 7 155H;16;1024;NVIDIA RTX4050;52.500,20
Asus;ZenBook 14 UX3402VA-KP659W i5-13500H 8 GB 512 GB S;Intel Core i5-13500H;8;512;Intel Iris Xe;37.999,00
Apple;Air M1;Apple M1;16;256;Apple M1 GPU;36.763,00
Casper;Nirvana S100.1362-DV00X-G-F;Intel Core i7-13620H;32;500;Intel UHD;30.972,45
Asus;-;Intel Core i5-1235U;16;512;Intel UHD;25.999,00
Lenovo;-;Intel Celeron N4120;4;128;Intel UHD;17.999,00
Apple;Pro M1;Apple M1;8;256;Apple M1 GPU;72.000,00
Casper;Nirvana C550.1235-BV00X-G-F;Intel Core i5-1235U;16;500;Intel Iris Xe;20.499,00
HP;15-FC0001NT;AMD Ryzen 5 7520U;8;256;AMD Radeon 610M;22.119,00
Casper;Nirvana X600.1270-DF00X-G-F;Intel Core i7-12700H;32;1024;Intel Iris Xe;38.999,00
Acer;-;Intel Core i5-1335U;8;512;Intel Iris Xe;26.199,00
Apple;Pro M1 Pro;Apple M1 Pro;16;1024;Apple M1 Pro GPU;79.999,00
Toshiba;Satellite Radius;Intel Core i7-6500U;8;256;Entegre;48.999,99
Casper;Nirvana X650.1342-DV00X-G-F;Intel Core i5-13420H;32;500;Intel UHD;27.062,07
Casper;Nirvana Z100;Intel Core i5-1335U;16;500;Intel Iris Xe;32.233,05
Casper;Nirvana X600.1270-BV00X-G-F;Intel Core i7-12700H;16;500;Intel Iris Xe;24.999,00
Lenovo;-;Intel Core i5-10300H;8;256;NVIDIA GTX1650;60.606,05
Casper;Nirvana X600.1270-BF00X-G-F;Intel Core i7-12700H;16;1024;Intel Iris Xe;30.554,03
Casper;Nirvana X600.5500-BV00X-G-F;AMD Ryzen 5 5500U;16;500;AMD Radeon;33.603,00
Lenovo;ThinkPad E14 Gen 5 21JR0009TX Ryzen 5 7530U 16 GB ;AMD Ryzen 5 7530U;16;512;AMD Radeon;56.550,88
Diğer;-;Intel Core i7-10870H;16;512;Intel UHD;46.499,00
Asus;Vivobook Pro 15 M6500QF-HN017;AMD Ryzen PRO 5 5600H;16;512;NVIDIA RTX2050;51.748,27
Apple;Air M4;Apple M4;16;256;Apple M4 GPU;45.299,00
Huawei;MateBook D16;Intel Core i5-12450H;8;512;Intel UHD;21.999,00
Lenovo;ThinkBook 14 G7 ARP 21MV001ATR Ryzen 5 7535HS 16 G;AMD Ryzen 5 7535HS;16;512;AMD Radeon 660M;28.471,58
Casper;Nirvana S100.1362-DF00X-G-F;Intel Core i7-13620H;32;1024;Intel UHD;33.051,53
Huawei;MateBook D16;Intel Core i5-12450H;16;512;Intel UHD;39.499,00
Chuwi;-;Intel N150;16;512;Entegre;16.399,07
MSI;-;Intel Core Ultra 7 155H;16;1024;NVIDIA RTX4050;52.500,20
Asus;ZenBook 14 UX3402VA-KP659W i5-13500H 8 GB 512 GB S;Intel Core i5-13500H;8;512;Intel Iris Xe;37.999,00
Apple;Air M1;Apple M1;16;256;Apple M1 GPU;36.763,00
Casper;Nirvana S100.1362-DV00X-G-F;Intel Core i7-13620H;32;500;Intel UHD;30.972,45
Asus;-;Intel Core i5-1235U;16;512;Intel UHD;25.999,00
Lenovo;-;Intel Celeron N4120;4;128;Intel UHD;17.999,00
Apple;Pro M1;Apple M1;8;256;Apple M1 GPU;72.000,00
Casper;Nirvana C550.1235-BV00X-G-F;Intel Core i5-1235U;16;500;Intel Iris Xe;20.499,00
HP;15-FC0001NT;AMD Ryzen 5 7520U;8;256;AMD Radeon 610M;22.119,00
Casper;Nirvana X600.1270-DF00X-G-F;Intel Core i7-12700H;32;1024;Intel Iris Xe;38.999,00
Acer;-;Intel Core i5-1335U;8;512;Intel Iris Xe;26.199,00
Apple;Pro M1 Pro;Apple M1 Pro;16;1024;Apple M1 Pro GPU;79.999,00
Toshiba;Satellite Radius;Intel Core i7-6500U;8;256;Entegre;48.999,99
Casper;Nirvana X650.1342-DV00X-G-F;Intel Core i5-13420H;32;500;Intel UHD;27.062,07
Casper;Nirvana Z100;Intel Core i5-1335U;16;500;Intel Iris Xe;32.233,05
Casper;Nirvana X600.1270-BV00X-G-F;Intel Core i7-12700H;16;500;Intel Iris Xe;24.999,00
Lenovo;-;Intel Core i5-10300H;8;256;NVIDIA GTX1650;60.606,05
Casper;Nirvana X600.1270-BF00X-G-F;Intel Core i7-12700H;16;1024;Intel Iris Xe;30.554,03
Casper;Nirvana X600.5500-BV00X-G-F;AMD Ryzen 5 5500U;16;500;AMD Radeon;33.603,00
Lenovo;ThinkPad E14 Gen 5 21JR0009TX Ryzen 5 7530U 16 GB ;AMD Ryzen 5 7530U;16;512;AMD Radeon;56.550,88
Diğer;-;Intel Core i7-10870H;16;512;Intel UHD;46.499,00
Asus;Vivobook Pro 15 M6500QF-HN017;AMD Ryzen PRO 5 5600H;16;512;NVIDIA RTX2050;51.748,27
Apple;Air M4;Apple M4;16;256;Apple M4 GPU;45.299,00
Huawei;MateBook D16;Intel Core i5-12450H;8;512;Intel UHD;21.999,00
Lenovo;ThinkBook 14 G7 ARP 21MV001ATR Ryzen 5 7535HS 16 G;AMD Ryzen 5 7535HS;16;512;AMD Radeon 660M;28.471,58
Casper;Nirvana S100.1362-DF00X-G-F;Intel Core i7-13620H;32;1024;Intel UHD;33.051,53
Huawei;MateBook D16;Intel Core i5-12450H;16;512;Intel UHD;39.499,00
Chuwi;-;Intel N150;16;512;Entegre;16.399,07
MSI;-;Intel Core Ultra 7 155H;16;1024;NVIDIA RTX4050;52.500,20
Asus;ZenBook 14 UX3402VA-KP659W i5-13500H 8 GB 512 GB S;Intel Core i5-13500H;8;512;Intel Iris Xe;37.999,00
Apple;Air M1;Apple M1;16;256;Apple M1 GPU;36.763,00
Casper;Nirvana S100.1362-DV00X-G-F;Intel Core i7-13620H;32;500;Intel UHD;30.972,45
Asus;-;Intel Core i5-1235U;16;512;Intel UHD;25.999,00
Lenovo;-;Intel Celeron N4120;4;128;Intel UHD;17.999,00
Apple;Pro M1;Apple M1;8;256;Apple M1 GPU;72.000,00
Casper;Nirvana C550.1235-BV00X-G-F;Intel Core i5-1235U;16;500;Intel Iris Xe;20.499,00
HP;15-FC0001NT;AMD Ryzen 5 7520U;8;256;AMD Radeon 610M;22.119,00
Casper;Nirvana X600.1270-DF00X-G-F;Intel Core i7-12700H;32;1024;Intel Iris Xe;38.999,00
Acer;-;Intel Core i5-1335U;8;512;Intel Iris Xe;26.199,00
Apple;Pro M1 Pro;Apple M1 Pro;16;1024;Apple M1 Pro GPU;79.999,00
Toshiba;Satellite Radius;Intel Core i7-6500U;8;256;Entegre;48.999,99
Casper;Nirvana X650.1342-DV00X-G-F;Intel Core i5-13420H;32;500;Intel UHD;27.062,07
Casper;Nirvana Z100;Intel Core i5-1335U;16;500;Intel Iris Xe;32.233,05
Casper;Nirvana X600.1270-BV00X-G-F;Intel Core i7-12700H;16;500;Intel Iris Xe;24.999,00
Lenovo;-;Intel Core i5-10300H;8;256;NVIDIA GTX1650;60.606,05
Casper;Nirvana X600.1270-BF00X-G-F;Intel Core i7-12700H;16;1024;Intel Iris Xe;30.554,03
Casper;Nirvana X600.5500-BV00X-G-F;AMD Ryzen 5 5500U;16;500;AMD Radeon;33.603,00
Lenovo;ThinkPad E14 Gen 5 21JR0009TX Ryzen 5 7530U 16 GB ;AMD Ryzen 5 7530U;16;512;AMD Radeon;56.550,88
Diğer;-;Intel Core i7-10870H;16;512;Intel UHD;46.499,00
Asus;Vivobook Pro 15 M6500QF-HN017;AMD Ryzen PRO 5 5600H;16;512;NVIDIA RTX2050;51.748,27
