title,price
"MSI Modern 14 F13MG-429XTR i5-1334U 16 GB 512 GB SSD Iris Xe Graphics 14"" Full HD NotebookEn Ucuz24.902,84 TL+1 FİYATÜrüne Git (+1)50+ alarm50+ alarm",24902.84
"Asus Vivobook S16 S3607VA-RP012 i7-13620H 16 GB 1 TB SSD UHD Graphics 16"" WUXGA NotebookEn Ucuz37.049,03 TL+24 FİYATÜrüne Git (+24)10+ alarm10+ alarm",37049.03
"MacBook Pro M4 16 GB 512 GB SSD 14.2"" MW2W3TU/A GümüşEn Ucuz%274.999,00 TL+6 FİYATÜrüne Git (+6)250+ alarm250+ alarm",74999.0
"Lenovo ThinkBook 16P G5 IRX 21N50024TR i9-14900HX 32 GB 1 TB SSD RTX4060 16"" NotebookEn Ucuz%485.599,00 TL+11 FİYATÜrüne Git (+11)100+ alarm100+ alarm",85599.0
"MacBook Pro M5 16 GB 512 GB 14.2"" MDE04TU/A Uzay SiyahıEn Ucuz%480.724,05 TL+27 FİYATÜrüne Git (+27)50+ alarm50+ alarm",80724.05
"MacBook Pro M4 Pro 24 GB 512 GB SSD 16.2"" MX2X3TU/A Uzay SiyahıEn Ucuz%2123.490,00 TL+9 FİYATÜrüne Git (+9)250+ alarm250+ alarm",123490.0
"Lenovo IdeaPad Slim 3 15IAN8 82XB009HTX N100 4 GB 128 GB SSD UHD Graphics 15.6"" Full HD NotebookEn Ucuz9.399,00 TL+16 FİYATÜrüne Git (+16)50+ alarm50+ alarm",9399.0
"Lenovo IdeaPad Slim 3 15AMN8 82XQ00JGTX Ryzen 3 7320U 8 GB 512 GB SSD Radeon 610M 15.6"" Full HD NotebookEn Ucuz17.099,05 TL+11 FİYATÜrüne Git (+11)50+ alarm50+ alarm",17099.05
"Huawei MateBook D14 2024 i5-12450H 8 GB 512 GB SSD UHD Graphics 14"" WUXGA NotebookEn Ucuz23.699,00 TL+14 FİYATÜrüne Git (+14)100+ alarm100+ alarm",23699.0
"Asus Vivobook 16 V3607VU-RP285W Core 5 210H 8 GB 512 GB SSD RTX4050 16"" WUXGA NotebookEn Ucuz40.999,00 TL+5 FİYATÜrüne Git (+5)50+ alarm50+ alarm",40999.0
"Lenovo ThinkBook 14 G7 ARP 21MV001ATR Ryzen 5 7535HS 16 GB 512 GB SSD Radeon 660M 14"" WUXGA NotebookEn Ucuz28.471,58 TL+11 FİYATÜrüne Git (+11)10+ alarm10+ alarm",28471.58
"HP 15-FC0059NT 8M1T1EA Ryzen 7 7730U 16 GB 512 GB SSD Radeon Graphics 15.6"" Full HD NotebookEn Ucuz22.085,30 TL+14 FİYATÜrüne Git (+14)50+ alarm",22085.3
"HP 250 G10 B2NC5ES i5-1334U 16 GB 512 GB SSD Iris Xe Graphics 15.6"" Full HD NotebookEn Ucuz23.488,75 TL+22 FİYATÜrüne Git (+22)250+ alarm",23488.75
"HP 255 G10 3Z6G3ES Ryzen 7 7730U 16 GB 512 GB SSD Radeon Graphics 15.6"" Full HD NotebookEn Ucuz22.159,06 TL+16 FİYATÜrüne Git (+16)50+ alarm",22159.06
"HP 15-FC0060NT 8M1T2EA Ryzen 5 7520U 16 GB 512 GB Radeon Graphics 15.6"" Full HD NotebookEn Ucuz19.540,50 TL+1 FİYATÜrüne Git (+1)50+ alarm",19540.5
"HP 255 G10 9G1G0ET Ryzen 5 7530U 16 GB 512 GB SSD Radeon Graphics 15.6"" Full HD NotebookEn Ucuz20.400,00 TL+48 FİYATÜrüne Git (+48)50+ alarm",20400.0
"HP 250 G10 8A541EA i7-1355U 16 GB 512 GB SSD Iris Xe Graphics 15.6"" Full HD NotebookEn Ucuz27.402,11 TL+56 FİYATÜrüne Git (+56)50+ alarm",27402.11
"HP Probook 450 G8 2R9D3EA i5-1135G7 8 GB 256 GB SSD Iris Xe Graphics 15.6"" Full HD NotebookEn Ucuz14.670,47 TLTEK FİYATÜrüne Git10+ alarm",14670.47
"HP 250 G10 B2PH1ES i7-1355U 16 GB 512 GB SSD Iris Xe Graphics 15.6"" Full HD NotebookEn Ucuz27.099,07 TL+60 FİYATÜrüne Git (+60)10+ alarm",27099.07
"HP 250 G10 B39W3AT i5 1334 -15.6''-16G-512SSD-DosEn Ucuz21.599,00 TL+77 FİYATÜrüne Git (+77)10+ alarm",21599.0
"HP 250 G7 255G9ES i3-1005G1 4 GB 128 GB SSD UHD Graphics 15.6"" NotebookEn Ucuz9.476,25 TLTEK FİYATÜrüne Git50+ alarm",9476.25
"HP OmniBook Ultra Flip 14-FH003NT B47A5EA Ultra 5 226V 16 GB 1 TB SSD Arc Graphics 130V 14"" İkisi Bir Arada NotebookEn Ucuz59.999,00 TL+6 FİYATÜrüne Git (+6)10+ alarm",59999.0
"HP 240 G10 968L6ET i5-1335U 8 GB 512 GB SSD Iris Xe Graphics 14"" NotebookEn Ucuz24.939,84 TL+10 FİYATÜrüne Git (+10)",24939.84
"HP ProBook 460 G11 A23BCEA Ultra 7 155U 16 GB 512 GB SSD Intel Graphics 16'' WUXGA NotebookEn Ucuz37.669,16 TL+39 FİYATÜrüne Git (+39)50+ alarm",37669.16
"HP ProBook 460 G11 A23BKEA Ultra 5 125U 16 GB 512 GB SSD Intel Graphics 16"" WUXGA NotebookEn Ucuz31.839,73 TL+30 FİYATÜrüne Git (+30)50+ alarm",31839.73
"HP ProBook 450 G10 969H2ET i7-1355U 16 GB 512 GB SSD Iris Xe Graphics 15.6"" Full HD NotebookEn Ucuz32.447,04 TL+73 FİYATÜrüne Git (+73)10+ alarm",32447.04
"HP ProBook 450 G10 B2NC6ES i5-1334U 16 GB 512 GB SSD Iris Xe Graphics 15.6"" Full HD NotebookEn Ucuz30.299,38 TL+74 FİYATÜrüne Git (+74)",30299.38
"HP 250 G10 B2PH7ES i5-1334U 16 GB 512 GB SSD Iris Xe Graphics 15.6"" Full HD NotebookEn Ucuz23.104,43 TL+31 FİYATÜrüne Git (+31)10+ alarm",23104.43
"HP ProBook 450 G10 9B9H3EA i5-1334U 16 GB 512 GB SSD Iris Xe Graphics 15.6"" Full HD NotebookEn Ucuz28.949,05 TL+37 FİYATÜrüne Git (+37)10+ alarm",28949.05
"HP 250 G10 9G1E4ET i5-1334U 8 GB 512 GB SSD Iris Xe Graphics 15.6"" Full HD NotebookEn Ucuz20.265,85 TL+79 FİYATÜrüne Git (+79)10+ alarm",20265.85
"Hp 15S-Fq5006nt 7K307ea İ5-1235U 8 Gb 512 Gb Ssd Iris Xe Graphics 15.6"" Full Hd Notebook HurdaEn Ucuz4.849,03 TLTEK FİYAT",4849.03
"HP 15-FC0000NT 7P6B0EA Ryzen 5 7520U 8 GB 512 GB SSD Radeon 610M 15.6"" Full HD NotebookEn Ucuz18.999,00 TLTEK FİYATÜrüne Git50+ alarm",18999.0
"HP 250 G10 B2NC4ES i5-1334U 8 GB 512 GB 15.6"" Free Dos FHD Dizüstü BilgisayarEn Ucuz20.000,00 TL+17 FİYATÜrüne Git (+17)50+ alarm",20000.0
"HP EliteBook 660 G11 9C075EA Ultra 5 125U 16 GB 512 GB SSD Intel Graphics 16"" WUXGA NotebookEn Ucuz37.813,00 TL+33 FİYATÜrüne Git (+33)10+ alarm",37813.0
"HP ProBook 460 G11 A23BYEA Ultra 7 155H 16 GB 512 GB SSD RTX2050 16'' WUXGA NotebookEn Ucuz%1239.375,00 TL+8 FİYATÜrüne Git (+8)10+ alarm",39375.0
"HP 250 G10 B2PH6ES i5-1334U 8 GB 512 GB SSD Iris Xe Graphics 15.6"" Full HD NotebookEn Ucuz%218.999,00 TL+59 FİYATÜrüne Git (+59)10+ alarm",18999.0
"HP ZBook Firefly G11 86A85EA Ultra 7 155H 32 GB 1 TB SSD RTX A500 14"" WUXGA Taşınabilir İş İstasyonuEn Ucuz77.999,55 TL+2 FİYATÜrüne Git (+2)10+ alarm",77999.55
"HP ProBook 440 G10 968L9ET i7-1355U 16 GB 512 GB Iris Xe Graphics 14"" Full HD NotebookEn Ucuz35.999,61 TL+49 FİYATÜrüne Git (+49)10+ alarm",35999.61
"HP 15-FC0016NT 7Q9K8EA Ryzen 5 7520U 8 GB 512 GB SSD Radeon Graphics 15.6"" Full HD NotebookEn Ucuz19.579,02 TL+5 FİYATÜrüne Git (+5)10+ alarm",19579.02
"HP 255 G8 7N4W2AA Ryzen 5 5500U 8 GB 256 GB SSD Radeon Graphics 15.6"" Full HD NotebookEn Ucuz17.595,00 TL+7 FİYATÜrüne Git (+7)100+ alarm",17595.0
"HP 15-FC0059NT AMD Ryzen 7 7730U 16GB 512GB SSD FreeDos 15.6"" FHD Taşınabilir BilgisayarEn Ucuz22.499,00 TL+1 FİYATÜrüne Git (+1)",22499.0
"HP 250 G10 B2NC9ES i5-1334U 8 GB 256 GB SSD Iris Xe Graphics 15.6"" Full HD NotebookEn Ucuz19.999,00 TL+2 FİYATÜrüne Git (+2)50+ alarm",19999.0
"HP 250 G9 6Q8N3ES05 Ryzen 7 5825U 32 GB 1 TB SSD Radeon Graphics 15.6"" Full HD NotebookEn Ucuz67.983,31 TL+6 FİYATÜrüne Git (+6)10+ alarm",67983.31
"Casper Nirvana S100.1362-BF00X-G-F i7-13620H 16 GB 1 TB SSD UHD Graphics 16"" WUXGA NotebookEn Ucuz25.999,00 TL+13 FİYATÜrüne Git (+13)50+ alarm",25999.0
"HP 15-FC0059NT 8M1T1EA Ryzen 7 7730U 16 GB 512 GB SSD Radeon Graphics 15.6"" Full HD NotebookEn Ucuz22.085,30 TL+14 FİYATÜrüne Git (+14)50+ alarm",22085.3
"HP 250 G10 B2NC5ES i5-1334U 16 GB 512 GB SSD Iris Xe Graphics 15.6"" Full HD NotebookEn Ucuz23.488,75 TL+22 FİYATÜrüne Git (+22)250+ alarm",23488.75
"Casper Nirvana S100.1362-DF00X-G-F i7-13620H 32 GB 1 TB SSD UHD Graphics 16"" WUXGA NotebookEn Ucuz33.051,53 TL+13 FİYATÜrüne Git (+13)50+ alarm",33051.53
"HP 255 G10 3Z6G3ES Ryzen 7 7730U 16 GB 512 GB SSD Radeon Graphics 15.6"" Full HD NotebookEn Ucuz22.159,06 TL+16 FİYATÜrüne Git (+16)50+ alarm",22159.06
"HP 15-FC0060NT 8M1T2EA Ryzen 5 7520U 16 GB 512 GB Radeon Graphics 15.6"" Full HD NotebookEn Ucuz19.540,50 TL+1 FİYATÜrüne Git (+1)50+ alarm",19540.5
"Casper Nirvana C500.1115-8P00T-G-F i3-1115G4 8 GB 250 GB SSD UHD Graphics 15.6"" Full HD NotebookEn Ucuz13.329,03 TLTEK FİYATÜrüne Git10+ alarm",13329.03
"HP 255 G10 9G1G0ET Ryzen 5 7530U 16 GB 512 GB SSD Radeon Graphics 15.6"" Full HD NotebookEn Ucuz20.400,00 TL+48 FİYATÜrüne Git (+48)50+ alarm",20400.0
"Casper Nirvana X650.1342-BV00X-G-F i5-13420H 16 GB 500 GB SSD UHD Graphics 15.6"" Full HD NotebookEn Ucuz22.139,00 TL+7 FİYATÜrüne Git (+7)10+ alarm",22139.0
"Casper Nirvana X600.7430-BV00X-G-F Ryzen 5 7430U 16 GB 500 GB SSD Radeon Graphics 15.6"" Full HD NotebookEn Ucuz21.348,94 TL+21 FİYATÜrüne Git (+21)10+ alarm",21348.94
"HP 250 G10 8A541EA i7-1355U 16 GB 512 GB SSD Iris Xe Graphics 15.6"" Full HD NotebookEn Ucuz27.402,11 TL+56 FİYATÜrüne Git (+56)50+ alarm",27402.11
"HP Probook 450 G8 2R9D3EA i5-1135G7 8 GB 256 GB SSD Iris Xe Graphics 15.6"" Full HD NotebookEn Ucuz14.670,47 TLTEK FİYATÜrüne Git10+ alarm",14670.47
"Casper Nirvana C370.4020-4C00B N4020 4 GB 120 GB SSD UHD Graphics 600 15.6"" Full HD NotebookEn Ucuz10.601,07 TL+13 FİYATÜrüne Git (+13)50+ alarm",10601.07
"HP 250 G10 B2PH1ES i7-1355U 16 GB 512 GB SSD Iris Xe Graphics 15.6"" Full HD NotebookEn Ucuz27.099,07 TL+60 FİYATÜrüne Git (+60)10+ alarm",27099.07
"HP 250 G10 B39W3AT i5 1334 -15.6''-16G-512SSD-DosEn Ucuz21.599,00 TL+77 FİYATÜrüne Git (+77)10+ alarm",21599.0
"Casper Nirvana X600.7430-DF00X-G-F Ryzen 5 7430U 32 GB 1 TB SSD Radeon Graphics 15.6"" Full HD NotebookEn Ucuz27.098,55 TL+14 FİYATÜrüne Git (+14)10+ alarm",27098.55
"HP 250 G7 255G9ES i3-1005G1 4 GB 128 GB SSD UHD Graphics 15.6"" NotebookEn Ucuz9.476,25 TLTEK FİYATÜrüne Git50+ alarm",9476.25
"HP OmniBook Ultra Flip 14-FH003NT B47A5EA Ultra 5 226V 16 GB 1 TB SSD Arc Graphics 130V 14"" İkisi Bir Arada NotebookEn Ucuz59.999,00 TL+6 FİYATÜrüne Git (+6)10+ alarm",59999.0
"Casper Nirvana S100.1362-BV00X-G-F i7-13620H 16 GB 500 GB SSD UHD Graphics 16"" WUXGA NotebookEn Ucuz26.489,80 TL+15 FİYATÜrüne Git (+15)10+ alarm",26489.8
"HP 240 G10 968L6ET i5-1335U 8 GB 512 GB SSD Iris Xe Graphics 14"" NotebookEn Ucuz24.939,84 TL+10 FİYATÜrüne Git (+10)",24939.84
"HP ProBook 460 G11 A23BCEA Ultra 7 155U 16 GB 512 GB SSD Intel Graphics 16'' WUXGA NotebookEn Ucuz37.669,16 TL+39 FİYATÜrüne Git (+39)50+ alarm",37669.16
"HP ProBook 460 G11 A23BKEA Ultra 5 125U 16 GB 512 GB SSD Intel Graphics 16"" WUXGA NotebookEn Ucuz31.839,73 TL+30 FİYATÜrüne Git (+30)50+ alarm",31839.73
"Casper Nirvana X600.1362-BV00X-G-F i7-13620H 16 GB 500 GB SSD UHD Graphics 15.6"" Full HD NotebookEn Ucuz24.999,00 TL+11 FİYATÜrüne Git (+11)10+ alarm",24999.0
"Casper Nirvana S100.1342-BV00X-G-F i5-13420H 16 GB 500 GB SSD UHD Graphics 16"" WUXGA NotebookEn Ucuz22.999,00 TL+16 FİYATÜrüne Git (+16)50+ alarm",22999.0
"HP ProBook 450 G10 969H2ET i7-1355U 16 GB 512 GB SSD Iris Xe Graphics 15.6"" Full HD NotebookEn Ucuz32.447,04 TL+73 FİYATÜrüne Git (+73)10+ alarm",32447.04
"HP ProBook 450 G10 B2NC6ES i5-1334U 16 GB 512 GB SSD Iris Xe Graphics 15.6"" Full HD NotebookEn Ucuz30.299,38 TL+74 FİYATÜrüne Git (+74)",30299.38
"HP 250 G10 B2PH7ES i5-1334U 16 GB 512 GB SSD Iris Xe Graphics 15.6"" Full HD NotebookEn Ucuz23.104,43 TL+31 FİYATÜrüne Git (+31)10+ alarm",23104.43
"HP ProBook 450 G10 9B9H3EA i5-1334U 16 GB 512 GB SSD Iris Xe Graphics 15.6"" Full HD NotebookEn Ucuz28.949,05 TL+37 FİYATÜrüne Git (+37)10+ alarm",28949.05
"Casper Nirvana X600.7430-BF00X-G-F Ryzen 5 7430U 16 GB 1 TB SSD Radeon Graphics 15.6"" Full HD NotebookEn Ucuz23.756,05 TL+14 FİYATÜrüne Git (+14)10+ alarm",23756.05
"HP 250 G10 9G1E4ET i5-1334U 8 GB 512 GB SSD Iris Xe Graphics 15.6"" Full HD NotebookEn Ucuz20.265,85 TL+79 FİYATÜrüne Git (+79)10+ alarm",20265.85
"Casper Nirvana Z100 Z100.1335-8V00T-S-Q i5-1335U 8 GB 500 GB SSD Iris Xe Graphics 14"" WQXGA NotebookEn Ucuz26.899,00 TL+12 FİYATÜrüne Git (+12)10+ alarm",26899.0
"Hp 15S-Fq5006nt 7K307ea İ5-1235U 8 Gb 512 Gb Ssd Iris Xe Graphics 15.6"" Full Hd Notebook HurdaEn Ucuz4.849,03 TLTEK FİYAT",4849.03
"HP 15-FC0059NT 8M1T1EA Ryzen 7 7730U 16 GB 512 GB SSD Radeon Graphics 15.6"" Full HD NotebookEn Ucuz22.085,30 TL+14 FİYATÜrüne Git (+14)50+ alarm",22085.3
"HP 250 G10 B2NC5ES i5-1334U 16 GB 512 GB SSD Iris Xe Graphics 15.6"" Full HD NotebookEn Ucuz23.488,75 TL+22 FİYATÜrüne Git (+22)250+ alarm",23488.75
"HP 255 G10 3Z6G3ES Ryzen 7 7730U 16 GB 512 GB SSD Radeon Graphics 15.6"" Full HD NotebookEn Ucuz22.159,06 TL+16 FİYATÜrüne Git (+16)50+ alarm",22159.06
